# Card images fetched from Hall of Heroes (hallofheroeslcg.com) by scripts/fetch_card_art.py: scans MarvelCDB
# does not publish, and better copies of ones it does (larger, or free of the FFG preview watermark).
# Saved over bundles/cards/<code>.<ext> in the local file's format, scaled to at most a 1100px long edge.
# Rows fetched on 2026-09-19 or earlier were scaled to a 419px long edge.
code	pack	name	source_page	image_url	fetched
01117b	core	Secret Rendezvous	https://hallofheroeslcg.com/core-set-2/	https://hallofheroeslcg.com/wp-content/uploads/2019/12/klaw5b.jpg	2026-09-26
01138b	core	Assault on NORAD	https://hallofheroeslcg.com/core-set-2/	https://hallofheroeslcg.com/wp-content/uploads/2019/12/ultron5b.jpg	2026-09-26
01139b	core	Countdown to Oblivion	https://hallofheroeslcg.com/core-set-2/	https://hallofheroeslcg.com/wp-content/uploads/2019/12/ultron6b.jpg	2026-09-26
02002a	gob	Norman Osborn	https://hallofheroeslcg.com/green-goblin/	https://hallofheroeslcg.com/wp-content/uploads/2019/12/risky2a.jpg	2026-09-26
02003a	gob	Norman Osborn	https://hallofheroeslcg.com/green-goblin/	https://hallofheroeslcg.com/wp-content/uploads/2019/12/risky3a.jpg	2026-09-26
02018a	gob	Mutagen Cloud	https://hallofheroeslcg.com/green-goblin/	https://hallofheroeslcg.com/wp-content/uploads/2019/12/mutagen5b.jpg	2026-09-26
04061b	trors	Attack on Mount Athena	https://hallofheroeslcg.com/the-rise-of-red-skull/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/c4b.jpg	2026-09-26
04062b	trors	The Infinity Stone	https://hallofheroeslcg.com/the-rise-of-red-skull/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/c5b.jpg	2026-09-26
04063b	trors	The Getaway	https://hallofheroeslcg.com/the-rise-of-red-skull/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/c6b.jpg	2026-09-26
04079b	trors	None Shall Pass	https://hallofheroeslcg.com/the-rise-of-red-skull/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/a4b.jpg	2026-09-26
04096b	trors	Hunting Down Heroes	https://hallofheroeslcg.com/the-rise-of-red-skull/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/t4b.jpg	2026-09-26
04112b	trors	The Island of Dr. Zola	https://hallofheroeslcg.com/the-rise-of-red-skull/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/z4b.jpg	2026-09-26
04113b	trors	The Mad Doctor	https://hallofheroeslcg.com/the-rise-of-red-skull/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/z5b.jpg	2026-09-26
